Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
53599704,Summary & Study Guide of Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger by Peter D. Kaufman,Martina,"Martina, Martina",,,,0,3.83,,Kindle Edition,,2020,,12/15/20,12/15/20,,,read,,,,1,,,0,,,,,
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,157864366X,9781578643660,0,4.48,Donning Company Publishers,Hardcover,512,2006,2005,,12/28/18,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
4122,Built to Last: Successful Habits of Visionary Companies,James C. Collins,"Collins, James C.",Jerry I. Porras,0060566108,9780060566104,5,4.03,Harper Business,Hardcover,368,2004,1994,,11/22/18,,,read,,,,1,,,0,,,,,
54298022,Invent and Wander: The Collected Writings of Jeff Bezos,Jeff Bezos,"Bezos, Jeff",Walter Isaacson,,,0,3.97,,Kindle Edition,,2020,2020,11/29/20,11/26/20,,,read,,,,1,,,0,,,,,
40109421,The Fifth Risk,Michael   Lewis,"Lewis, Michael",,1324002646,9781324002642,0,4.09,W. W. Norton  Company,Hardcover,221,2018,2018,,11/22/18,,,read,,,,1,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,,,4,4.36,Avery,Kindle Edition,319,2018,2018,7/23/20,1/9/20,,,read,,,,1,,,0,,,,,
26073079,"The Cultural Revolution: A People's History, 1962-1976",Frank Dikötter,"Dikötter, Frank",,1632864215,9781632864215,0,3.99,Bloomsbury Press,Hardcover,396,2016,2016,,6/9/20,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
15852325,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.",,,,5,4.07,HarperBusiness,Kindle Edition,239,2012,2012,3/14/21,3/12/21,,,read,,,,1,,,0,,,,,
8209000,The Score Takes Care of Itself,Bill Walsh,"Walsh, Bill",,,,3,4.25,,Kindle Edition,300,,2009,8/1/20,9/10/19,,,read,,,,1,,,0,,,,,
25837084,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,,,5,4.08,Ace,Kindle Edition,320,2000,1969,6/13/20,12/27/18,,,read,,,,1,,,0,,,,,
56097267,Race Brokers: Housing Markets and Segregation in 21st Century Urban America,Elizabeth Korver-Glenn,"Korver-Glenn, Elizabeth",,0190063874,9780190063870,0,5,"Oxford University Press, USA",Paperback,240,2021,,,4/21/21,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
6828896,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,"Hsieh, Tony",,0446563048,9780446563048,0,4.02,Grand Central Publishing,Hardcover,246,2010,2010,8/21/19,8/11/19,,,read,,,,1,,,0,,,,,
153708,A Mathematician Plays The Stock Market,John Allen Paulos,"Paulos, John Allen",,0465054811,9780465054817,0,3.49,Basic Books,Paperback,224,2004,2003,8/1/20,8/1/20,,,read,,,,2,,,0,,,,,
10534,The Art of War,Sun Tzu,"Tzu, Sun","Thomas Cleary, Pulat Otkan",,,0,3.97,Shambhala,Paperback,273,2005,-500,,11/22/18,,,read,,,,1,,,0,,,,,
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,0553418815,9780553418811,0,3.88,Crown,Hardcover,259,2016,2016,,11/22/18,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,0374275637,9780374275631,5,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,11/22/18,,,read,,,,1,,,0,,,,,
45697427,Dark Matter,Blake Crouch,"Crouch, Blake",,,,0,4.1,Ballantine Books,Kindle Edition,343,2016,2016,5/12/21,5/8/21,,,read,,,,1,,,0,,,,,
36794159,Medical Nihilism,Jacob Stegenga,"Stegenga, Jacob",,0198747047,9780198747048,0,4.03,"Oxford University Press, USA",Hardcover,256,2018,,,4/11/19,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
45011536,Medallion Status: True Stories from Secret Rooms,John Hodgman,"Hodgman, John",,,,0,4.16,Viking,Kindle Edition,304,2019,2019,4/10/20,1/27/20,,,read,,,,1,,,0,,,,,
33916061,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,0399590560,9780399590566,0,4.38,One World,Hardcover,367,2017,2017,4/7/19,3/9/19,,,read,,,,1,,,0,,,,,
6064179,In Defense of Food: An Eater's Manifesto,Michael Pollan,"Pollan, Michael",,,,0,4.06,Penguin Books,Kindle Edition,268,2008,2008,9/27/20,9/27/20,,,read,,,,1,,,0,,,,,
172793,The House of Morgan,Edwin P. Hoyt,"Hoyt, Edwin P.",,0584001282,9780584001280,0,4.05,,,,,,,11/22/18,,,read,,,,1,,,0,,,,,
187181,The Chosen (Reuven Malther #1),Chaim Potok,"Potok, Chaim",,0449213447,9780449213445,0,4.04,Fawcett Books,Mass Market Paperback,304,1987,1966,,12/27/18,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
